text,emotion
那家餐厅的菜真的不行，油腻到不行。,厌恶语调
最近和家人的关系有点紧张，让我心情很差。,悲伤语调
你知道吗？张景祥居然辞职去开了自己的公司！,惊奇语调
你明天有空吗？要不要一起去喝杯咖啡。,平淡语气
我真的无法忍受高芸茜，他真的超爱抱怨，一点小事都可以说一整天。,厌恶语调
我今天终于完成了我的健身目标，我现在超级壮的，哈哈！,开心语调
我朋友要搬到国外了，有点难过。,悲伤语调
我刚刚看到新闻说最近治安不好，我有点怕出门。,平淡语气
我今天考试拿了满分！,开心语调
老板居然让我加班，明明说好下班就可以走的！,愤怒语调
我刚刚去的那家店服务态度很差，真不想再去。,厌恶语调
我今天真的过得很糟，所有事情都不顺。,悲伤语调
你知道吗？我刚碰到了一个小时候的朋友，真没想到会在这里遇见他！,惊奇语调
这周末我们可以去爬山，你觉得怎么样？,平淡语气
他讲话真的有点贱，感觉一直讽刺人。,厌恶语调
我今天完全没想到她会送我礼物，超级开心的！,开心语调
我感觉最近跟朋友的关系变得有点冷淡。,悲伤语调
我今天要去看牙医，从小到现在牙医都是我的恶梦，好紧张喔！,平淡语气
我刚买了我一直想要的那台笔电，我存了很久的钱终于存到了，超舒服的！,开心语调
我订的快递竟然被弄丢了，会不会太夸张！,愤怒语调
今天公司午餐的味道真的不行，有够难吃。,厌恶语调
我好想我的家人，已经好久没见到他们了。,悲伤语调
我刚收到一个来自陌生人寄来的包裹！,惊奇语调
下周有没有时间一起去看展览？,平淡语气
那个人真的是超没礼貌了，我没办法想像他父母怎么教的。,厌恶语调
我刚学会了一个新技能，现在超有成就感！,开心语调
最近压力好大，感觉自己快撑不住了。,悲伤语调
我刚接到一个陌生电话，感觉是诈骗。,平淡语气
我终于学会游泳了！不会再被笑了！,开心语调
我真的无法忍受他那副自以为是的样子！,愤怒语调
今天吃的那个点心，真的超难吃的。,厌恶语调
最近的日子过得真是难熬，感觉什么都不顺。,悲伤语调
我刚刚在全家（便利商店）遇到了以前的老师！,惊奇语调
你觉得这件事要怎么处理比较好？,平淡语气
这件衣服的材质摸起来不怎么好，完全不想穿。,厌恶语调
我今天发现了一家超棒的小吃店，食物很赞又便宜！,开心语调
我觉得最近和朋友的关系越来越疏远，心里很难过。,悲伤语调
我最近想换个工作。,平淡语气
我居然在IG上看到了我以前的同学。,惊奇语调
最近好像都是一个人。,悲伤语调
今天晚上有要干嘛吗？,平淡语气
我达成了一个长期的目标，我非常满意。,开心语调
我很害怕未来要干嘛。,平淡语气
我真的很讨厌做这种繁琐的工作。,厌恶语调
我很不满意这个决定。,愤怒语调
我今天打算要处理一些文件。,平淡语气
我没想到我会得到这个奖项！,惊奇语调
我觉得我没有拿到应有回报。,悲伤语调
我刚刚收到了一个称赞，真的很开心。,开心语调
今天的工作还算顺利。,平淡语气
这次演讲我非常紧张。,平淡语气
我真的不喜欢看无聊的节目。,厌恶语调
为什么我总是要替别人的错误负责？,愤怒语调
我终于升职了，真的很开心！,开心语调
我最近在学习一门新技能。,平淡语气
我最近很低落，好像我什么都做不好。,悲伤语调
我发现陈彦桦竟然会说西班牙语！,惊奇语调
为什么每次都要在最后一刻才改变计划？,愤怒语调
我想了解更多关于海洋生态的资讯。,平淡语气
我担心我没办法完成这个重要的项目。,平淡语气
我刚买了一部新的iPhone16 ，感觉真棒！,开心语调
我最近和陈思恺的关系变得很紧张。,悲伤语调
我竟然在旅行中遇到了我以前的同事！,惊奇语调
这里的食物真的很难吃。,厌恶语调
我最近在整理我的日程表。,平淡语气
我好怕这次考试失常。,平淡语气
今天的电影蛮好看的。,开心语调
我最近总觉得很孤单。,悲伤语调
我今天在街上看到一只很大的狗。,惊奇语调
这次的服务态度超烂。,愤怒语调
我在想要不要培养新的技能。,平淡语气
我好怕以后没有工作。,平淡语气
我今天遇到了一个很久没见的老朋友。,开心语调
我觉得最近做什么都好无助。,悲伤语调
我的妈妈竟然为我准备了一个惊喜派对！,惊奇语调
我买了新的书。,平淡语气
今天我收到了我梦寐以求的礼物！,开心语调
我觉得最近的努力都没有得到想要的结果。,悲伤语调
我昨天在图书馆遇到了一位著名的作家。,惊奇语调
为什么每次都要等到最后一刻才解决问题？,愤怒语调
我在考虑换工作。,平淡语气
我好怕在面试中表现不好。,平淡语气
我今天试了一个新的食谱，结果超好吃！,开心语调
我最近很难找到可以休息的时间。,悲伤语调
我竟然在IG上看到了一个非常奇怪的贴文。,惊奇语调
为什么我总是被忽视？,愤怒语调
我今天做了个关于工作的计划。,平淡语气
我对新环境都会感到很不安。,平淡语气
我收到了朋友送的生日礼物，超开心的！,开心语调
我最近感觉自己被朋友孤立了。,悲伤语调
我昨天在街上碰到了我的偶像。,惊奇语调
我非常反对这个新的政策。,厌恶语调
我今天学到了很多新知识。,平淡语气
我最近有点担心我的健康状况。,平淡语气
我今天做了一件很有意义的事情。,开心语调
最近一直觉得自己的心情处于低谷。,悲伤语调
我在学校发现了一个非常有趣的社团。,惊奇语调
为什么每次都会有这么多的麻烦？,愤怒语调
我最近在学习怎么写程式。,平淡语气
我和朋友之间的关系变得有点紧张。,悲伤语调
我终于完成了我一直想做的项目！,开心语调
我最近对我的工作环境非常不满意。,愤怒语调
我在图书馆找到了一本非常少见的书。,惊奇语调
我对未来的计划感到很焦虑。,平淡语气
我真的受够了这些无聊的会议。,厌恶语调
我正在整理我的书桌。,平淡语气
我今天获得了一个奖！,开心语调
我觉得自己在工作上没有得到应有的认可。,悲伤语调
我昨天看到了一条新闻，它让我改变了我的生活。,惊奇语调
总是有人在会议上打断我的发言。,愤怒语调
我今天去了超市。,平淡语气
我好怕会错过截止日期。,平淡语气
我最近学会了一项新技能。,开心语调
我最近很孤单。,悲伤语调
我最近遇到了一位以前的老朋友。,惊奇语调
我觉得自己总是被别人忽略。,愤怒语调
我今天有点累。,平淡语气
我最近参加了一个有趣的营队。,开心语调
我对某些事情感到非常失望。,悲伤语调
我发现了一个我从没去过的地方。,惊奇语调
我们昨天晚上玩了一个超好玩的桌游！,开心语调
我昨天输了比赛。,悲伤语调
队友总是把我搞得很生气。,愤怒语调
最近我在玩一个新游戏。,平淡语气
我竟然在游戏里获得了第一名。,惊奇语调
我今天打篮球打得非常开心。,开心语调
那个裁判真的很不公平，完全偏心对方。,愤怒语调
我们今天有一场篮球比赛。,平淡语气
我最近的表现一直不如预期。,悲伤语调
我的朋友竟然打破了校队的纪录！,惊奇语调
我刚刚在IG上发布了一则贴文。,平淡语气
我在IG上的贴文得到了很多按赞！,开心语调
我的IG帐号被盗了。,悲伤语调
有人在我的贴文下留了一则攻击性的评论。,愤怒语调
我看到了一个非常惊人的贴文，它有很多人分享。,惊奇语调
我刚学会了弹小星星，练了超久终于学会了！,开心语调
今天排练的时候，他居然又没来，每次都这样！,愤怒语调
下周的成果发表，我好紧张，怕弹错。,平淡语气
今天社团的音响设备又出问题，直接狂暴音。,厌恶语调
最近练吉他好累，觉得自己怎么练都没进步。,悲伤语调
你知道吗？社长居然在一个比赛上得了冠军！,惊奇语调
我刚刚写的程式终于成功，之前一直报错，超爽的！,开心语调
我的电脑突然崩溃了，他没给我存档，我写的程式全没了，我快哭了！,愤怒语调
老师说下周要交专案，我还什么都没做，头好痛！,平淡语气
这堂课的软体操作真的好复杂，我完全搞不懂。,厌恶语调
我怎么试都无法解决这个bug，感觉自己好没用。,悲伤语调
老师今天居然用Python写了一个FPS游戏，超酷的！,惊奇语调
我刚在市场找到一个超便宜的水果摊，这些水果好蛮新鲜的！,开心语调
这个商店的价格居然比上次贵了好多，涨那么多真的太夸张了！,愤怒语调
这里人太多了，我有点担心会不会被扒手盯上。,平淡语气
这家卖的肉看起来不太新鲜，我不敢买。,厌恶语调
我今天没带够钱，很多想买的东西都没法买了。,悲伤语调
哇！这里有个卖古董的摊位，我从来没在夜市见过这种东西！,惊奇语调
昨晚的比赛太精彩了！勇士队终于赢了，超爽的！,开心语调
裁判的判决太不公平了，我觉得我们被阴了！,愤怒语调
你知道吗？Lebron昨晚居然又破了一项纪录，太不可思议了！,惊奇语调
唉，湖人队又输了，今年季后赛估计没希望了。,悲伤语调
我很担心我们的主力球员受伤，这会影响我们进季后赛的机会。,平淡语气
我真的不喜欢那个球员的打法，他给我的感觉是一直想要自己来。,厌恶语调
这里的风景太美了！真是个露营的好地方。,开心语调
帐篷的支架居然坏了！真是气死我了。,愤怒语调
天好像快黑了，我有点担心找不到路回营地。,平淡语气
哎，蚊子实在太多了，真的很烦。,厌恶语调
我们准备的食物好像不够，感觉有点失策。,悲伤语调
那天的星星好亮，太漂亮了！,惊奇语调
这场演唱会太棒了！现场气氛超嗨！,开心语调
后面那个人一直推我，真的很没礼貌！,愤怒语调
人太多了，我有点害怕出事。,平淡语气
天啊！杨恺安居然在台上即兴演奏，这太让人意外了！,惊奇语调
这音响效果好像不太好，声音有点失真。,厌恶语调
唉，演唱会快结束了，真有点舍不得。,悲伤语调
我刚中了一个超大的奖！真的不敢相信！,开心语调
今天早上上班的时候又塞车，又迟到了！,愤怒语调
我有点怕明天的面试，不知道自己准备得够不够。,平淡语气
你知道吗？我居然在书店碰到了我小学同学！,惊奇语调
这咖啡味道好怪，不想喝了。,厌恶语调
我最近觉得自己很没用，什么事都做不好。,悲伤语调
我刚升职了！终于盼到了这一天！,开心语调
我今天和朋友吵架了，感觉很糟糕。,悲伤语调
我的老板今天真是太过分了，毫无理由地指责我！,愤怒语调
我明天要去参加一个很重要的面试，好紧张。,平淡语气
你知道吗？隔壁的邻居竟然中了乐透！,惊奇语调
今天午餐的味道太恶心了，我一口都吃不下。,厌恶语调
周末有什么计划吗？,平淡语气
我刚学会了做蛋糕，真是太有成就感了！,开心语调
我的手机昨天摔坏了，修理费好贵，我现在心情很差。,悲伤语调
我真的受不了，这家公司的服务态度差到不行！,愤怒语调
刚刚在路上遇到一群流浪狗，吓死我了。,平淡语气
你听说了吗？我们学校居然被选为全市最优秀学校！,惊奇语调
今天的天气又闷又热，我真的受不了了。,厌恶语调
我晚餐要吃什么啊？,平淡语气
我今天买到了一双限量版的鞋子，超爽的！,开心语调
最近压力很大，感觉好累。,悲伤语调
那个司机居然在红灯的时候加速，真是太危险了！,愤怒语调
我好担心这次的考试，感觉自己准备得不够好。,平淡语气
你知道吗？刘永乐居然在一周内瘦了10公斤！,惊奇语调
这顿饭真的太油腻了，我吃不下了。,厌恶语调
我下周可能要出差，你有什么建议吗？,平淡语气
我刚拿到驾照了！终于可以自己开车了！,开心语调
我昨天的面试表现不好，感觉没机会了。,悲伤语调
这次合作完全失败了，大家都超不负责任！,愤怒语调
我晚上要一个人去医院看诊，我有点害怕。,平淡语气
你知道吗？我刚发现陈思恺居然是个作家！,惊奇语调
那家餐厅的服务态度太差了，让人没心情吃饭。,厌恶语调
这周末天气好吗？我想要去爬山。,平淡语气
我今天拿到了公司的录取通知书！太开心了！,开心语调
我的朋友要搬到另一个城市了，真的很舍不得他。,悲伤语调
他明明答应会帮忙的，结果什么都没做！,愤怒语调
这次的检查报告结果还没出来，我好紧张...,平淡语气
你知道吗？那家超市竟然开始卖奢侈品了！,惊奇语调
这天气实在太潮湿了，让人很不舒服。,厌恶语调
下周有个演讲，你打算参加吗？,平淡语气
我刚赢了一场比赛，实在是太开心了！,开心语调
我家养了十年的狗今天走了，我好难过。,悲伤语调
今天有人在公车上大声讲电话，真是让人火大！,愤怒语调
我这几天总是感觉不舒服，是不是生病了。,平淡语气
你不会相信，我刚刚在街上碰到了小学同学！,惊奇语调
这件衣服的材质摸起来刺刺的，穿著也不舒服。,厌恶语调
你觉得这部电影值得看吗？,平淡语气
我今天终于完成了那个难搞的专案，太开心了！,开心语调
今天我听到了一个坏消息，我朋友的爸爸过世了....,悲伤语调
那个人今天又没交工作报告！,愤怒语调
我明天有个很重要的演讲，现在好紧张。,平淡语气
你知道吗？我刚刚看到我们的教授在打篮球！,惊奇语调
今天的外卖真的是太糟糕了，味道难吃死了。,厌恶语调
周末有没有想去的地方？,平淡语气
我今天中了小奖，虽然不是很多，但还是很开心！,开心语调
我最近心情不太好，感觉什么事都不顺利。,悲伤语调
今天那个客户又放我鸽子了，真的让人火大！,愤怒语调
最近新闻说疫情又开始变严重了，我有点害怕。,平淡语气
你知道吗？我朋友突然决定搬到国外去工作了！,惊奇语调
这杯咖啡喝起来太苦了，根本没法喝。,厌恶语调
最近有什么新出的好书推荐吗？,平淡语气
我终于学会了弹钢琴的那首曲子！,开心语调
我今天被公司拒绝了...,悲伤语调
那个同事今天又在会议上插嘴，真是气死我了！,愤怒语调
我好担心下周的考试，感觉准备的不太够。,平淡语气
你听说了吗？我们班的那个同学得了奖学金！,惊奇语调
今天的天气又热又黏，真是让人受不了。,厌恶语调
你今晚有空吗？我想和你聊聊。,平淡语气
我刚刚中午抽到了免费电影票欸，超爽的！,开心语调
我今天跟朋友吵架了，有点难过，我不知道该怎么办。,悲伤语调
今天我手机被偷了，真的很不爽！,愤怒语调
最近社区里好像有人遇到暴露狂，我有点担心。,平淡语气
你知道吗？我学长居然自己创业开了一家公司！,惊奇语调
今天的面真的是煮得太烂了，根本没办法吃。,厌恶语调
你周末有没有空？想不想一起去看展览吗？,平淡语气
我刚完成了人生第一次跳伞！那感觉真的此生难忘！,开心语调
我昨天发现我种了半年多的樱花枯萎了，真的很心疼。,悲伤语调
我今天骑车被一台汽车逼车，还差点被撞到，那台车真他妈白痴！,愤怒语调
明天要去参加大学的面试，我有点紧张怕会表现得不好。,平淡语气
你相信吗？我今天在西门町遇到了我国中的老师！,惊奇语调
今天去看了个房子，结果环境整个超乱的，完全不是预期中的样子。,厌恶语调
你对这次政府的新政策有什么看法？,平淡语气
我刚学会骑机车了！感觉超自由的，不用再搭公车了！,开心语调
我刚刚送走了我最好的朋友，他要去国外念书，好空虚。,悲伤语调
今天在银行排了快一个小时，结果窗口的人办事效率超慢，浪费我时间！,愤怒语调
最近疫情又升温了，我真的有点害怕，不敢随便出门。,平淡语气
你知道吗？我们邻居的猫竟然学会自己开门，真的超聪明！,惊奇语调
今天去逛了一家新开的餐厅，结果环境超脏，让我一点食欲都没有。,厌恶语调
最近有什么好看的剧吗？,平淡语气
我刚刚收到面试通知了！终于有机会去应征我梦想中的公司！,开心语调
我养了五年的金鱼今天死了，我很伤心。,悲伤语调
今天去便利商店买东西，结果结帐的时候店员态度超差的！,愤怒语调
昨天晚上我听到家外面有奇怪的声音，真的被吓到了，不知道发生了什么事。,平淡语气
我刚刚才知道，我爸年轻时候居然是五月天的鼓手，完全没想到！,惊奇语调
今天坐计程车的时候，车里的味道超怪，让我差点吐了。,厌恶语调
下周有个朋友的生日派对，你要一起去吗？,平淡语气
我刚拿到了奖学金，完全没想到能拿到这么多！,开心语调
今天是我和朋友最后一次见面了，因为他要去国外定居。,悲伤语调
今天在网路上买的东西到了，结果完全跟图片不一样，被坑的好惨，有够气！,愤怒语调
这几天一直有诈骗电话打来，我有点担心个资外泄了。,平淡语气
你知道吗？我朋友居然刚买了一台特斯拉，这么年轻就这么有钱！,惊奇语调
今天路上有人乱丢垃圾，真的很没品！,厌恶语调
下周末有空吗？我们可以去爬象山，天气应该会不错。,平淡语气
我今天去海边，冲浪真的超好玩！,开心语调
我的手机不小心掉进水里了，现在完全坏掉了，我现在头超痛。,悲伤语调
今天外送又迟到了，还送错餐点，真的很夸张！,愤怒语调
最近我晚上都睡不好，一直做恶梦。,平淡语气
我朋友竟然中了一百万！这也太夸张了吧！,惊奇语调
今天我去的那家餐厅，服务态度超差，整个用餐过程超不爽！,厌恶语调
礼拜天要干嘛？要不要一起去看电影？,平淡语气
我今天参加了马拉松，顺利跑完全程！真的很有成就感！,开心语调
我今天收到消息，我的朋友要搬去国外了，感觉心里很空虚。,悲伤语调
今天被计程车司机绕路，结果车费比平常多了一倍，真是气死我了！,愤怒语调
最近社区好像发生了几起窃盗案，我开始有点担心家里的安全。,平淡语气
你知道吗？我昨天在百货公司碰到了周杰伦，超意外的！,惊奇语调
今天去了一家餐厅，结果桌子油腻腻的，环境真的很糟糕。,厌恶语调
你觉得这次要不要参加学校的志工活动？听说蛮有趣的。,平淡语气
我今天终于有驾照了！可以自己开车了，超爽的！,开心语调
我的宠物生病了，好难过，不知道牠会不会好起来。,悲伤语调
今天去餐厅吃饭，结果服务生态度超差，整个气氛都被搞坏了。,愤怒语调
最近常常有诈骗电话，我有点怕自己的个资外泄了。,平淡语气
你知道吗？我朋友刚中了五千万的乐透！这也太夸张了吧！,惊奇语调
今天去公园野餐，结果草地上到处都是垃圾，有够脏的。,厌恶语调
你这周末有没有计划？要不要一起去台中玩？,平淡语气
我今天买到了限量版的球鞋！排队排了一整天，但超值得！,开心语调
我今天才发现，我喜欢的那家咖啡店要关门了，以后就没办法再喝到我最喜欢的咖啡了。,悲伤语调
今天我的电脑又当机了，害我工作进度全都延迟，还害我被老板骂，超气的！,愤怒语调
最近晚上总觉得家里附近很安静，我一个人待著有点怕。,平淡语气
你相信吗？我今天在捷运上碰到了高中老师，真的太巧了！,惊奇语调
今天中午点的外卖超难吃，菜都凉了，真的很不爽。,厌恶语调
这周五有个聚餐活动，你要不要一起去？,平淡语气
我今天跟张家铭一起去看了一场演唱会，气氛嗨到爆！,开心语调
今天我心情超差，我家养的狗狗生病了，真的很难过。,悲伤语调
今天我排队排了半个小时，结果前面的人插队，店员竟然不管！,愤怒语调
最近我晚上回家时总觉得有人在跟著我，感觉有点害怕。,平淡语气
你知道吗？我今天在路上看到了一台超酷的改装车，简直像电影里的一样！,惊奇语调
今天去买了一杯手摇饮，但太甜了，喝到我都快吐了。,厌恶语调
这周末天气不错，要不要一起去淡水走走？,平淡语气
我刚刚收到了林慈亭寄来的生日礼物，超级惊喜！,开心语调
我很喜欢的一个偶像宣布要退出演艺圈了，真的好难过。,悲伤语调
今天公车司机开得超快，还差点撞到人，真的太危险了！,愤怒语调
我最近接到一个奇怪的电话，对方问了很多私人问题，我开始觉得不安。,平淡语气
你知道吗？我今天在餐厅碰到了一位电视上的名主持人，太惊喜了！,惊奇语调
今天去了一家新的火锅店，结果整个环境又油又脏，真是让人失望。,厌恶语调
周末有个市集活动，你想不想去逛逛？,平淡语气
我刚刚跟同学去吃了一家新开的餐厅，结果超级好吃！,开心语调
我的手机突然坏掉了，而且里面的资料都没备份，我快崩溃了。,悲伤语调
我今天搭捷运一直被推，结果手机掉地上摔坏了，真的很气！,愤怒语调
