domain,text,action
日常,她轻轻摇头，嘴角露出一丝苦笑。,（摇头并苦笑）
言情,她轻轻踮起脚尖，手指颤抖着抓住他的衣角。,（害羞地拉扯对方的衣服）
言情,她轻轻咬着下唇，眼中闪过一丝犹豫后，终于向前迈出了一步。,（紧张地迈步）
侦探,灯光微弱的地下室里，侦探轻抬眼镜，目光如炬地盯着桌上的旧照片。,（轻抬眼镜并注视照片）
轻小说,她轻轻合上书本，嘴角泛起一抹神秘的微笑。,（合上书本并微笑）
轻小说,在月光下，她轻轻握紧了拳头，眼中闪烁着决心的光芒。,（握拳，目光坚定）
言情,她轻轻靠近，手指颤抖地触碰他的衣角。,（紧张地拉衣角）
日常,她轻轻地合上书本，抬头望向窗外，嘴角露出一丝微笑。,（合书并微笑）
玄幻,月光下，她轻轻挥动手中的法杖，口中念念有词。,（施放月光法术）
生活,她轻轻合上书本，长舒一口气。,（合书并深呼吸）
日常,她轻声叹了口气，望向远方。,（叹气并远眺）
生活,她轻叹一声，低头看着手中的照片，眼角泛起了泪光。,（低头凝视并轻叹）
日常,她轻轻放下茶杯，叹了口气。,（放下茶杯并叹气）
玄幻,她轻挥法杖，低语咒文。,（释放魔法光芒）
侦探,侦探迅速翻开笔记本，眉头紧锁。,（快速翻页并皱眉）
玄幻,夜空中突然裂开一道缝隙，一道耀眼的光芒直射而下。,（仰望天空，伸手遮挡刺眼光芒）
历史,将军缓缓拔出佩剑，指向远方的敌军阵营，眼中闪烁着坚定的光芒。,（拔剑指敌）
轻小说,她轻声细语，眼中闪过一丝狡黠。,（悄悄靠近）
侦探,侦探轻轻推开门缝，锐利的目光扫视着昏暗的房间。,（推门并观察）
生活,她轻轻地拿起茶杯，嘴角露出一丝微笑。,（优雅地品茶）
日常,她轻轻地放下茶杯，目光转向窗外。,（放下茶杯并望向窗外）
日常,她轻轻地叹了口气，低头看着手中的咖啡杯。,（叹气并低头）
言情,她轻轻低头，脸颊微红。,（羞涩地避开目光）
都市,她快速穿过拥挤的街道，眼神坚定地看向前方。,（快步行走）
都市,她低头匆匆走过，手机屏幕还亮着。,（快速走过并查看手机）
日常,她轻快地跳过水坑，脸上洋溢着无忧无虑的笑容。,（跳过水坑）
日常,她轻轻合上书本，叹了口气。,（合书并叹气）
日常,她快速地转过身，脸上露出了惊讶的表情。,（转身并表现出惊讶）
轻小说,她的指尖闪烁着微弱的光芒。,（轻轻触碰水晶球）
日常,她轻轻合上书本，叹了口气。,（合书并叹气）
都市,她快速穿过拥挤的街道，不时回头张望。,（匆忙行走并警惕四周）
武打,他迅速转身，一脚踢向对方胸口。,（转身踢击）
日常,她轻轻放下书，若有所思地望向窗外。,（放下书并望窗）
玄幻,她指尖轻弹，一道金光划破天际。,（施展法术）
日常,她轻轻地将咖啡杯放在桌上，目光温柔地望向窗外。,（放咖啡杯并望向窗外）
历史,秦始皇高举诏书，宣布统一六国。,（高举诏书宣布）
玄幻,她轻挥衣袖，瞬间风起云涌。,（施展法术）
侦探,侦探紧盯着桌上的照片，手指轻轻敲打着桌面，眉头紧锁。,（凝视照片并沉思）
都市,她迅速地穿过拥挤的街道，轻巧地避开了行人。,（轻快穿梭于人群中）
轻小说,她轻轻合上书本，嘴角微扬。,（微笑并合上书本）
武打,她迅速转身，飞腿直取对方胸口。,（快速转身并飞踢）
言情,她轻轻低头，脸颊微红。,（害羞地避开目光）
日常,她轻轻合上书本，嘴角露出一丝微笑。,（合书并微笑）
日常,她轻轻地叹了口气，望向远方。,（叹息并远望）
玄幻,她轻挥玉手，空中浮现出耀眼的光芒。,（施展法术）
言情,她轻咬着下唇，眼中闪过一丝羞涩。,（低头害羞）
生活,她轻轻地拿起桌上的相框，眼中闪过一丝怀念的光芒。,（拿起相框凝视）
侦探,侦探小心翼翼地翻开那本泛黄的日记本，指尖轻轻滑过每一页。,（翻看日记本）
言情,她轻轻咬住下唇，眼中闪烁着泪光。,（低头掩饰泪水）
侦探,侦探轻轻推开灰尘覆盖的日记本，目光如炬地扫视着每一行字迹。,（翻开日记本并仔细阅读）
玄幻,她轻挥法杖，空中绽放出璀璨的光芒。,（施展法术）
言情,她轻轻咬了咬下唇，眼神躲闪。,（害羞地低下头）
侦探,侦探轻抚着下巴，目光如炬地审视着桌上的血迹。,（审视血迹）
科幻,她快速按下按钮，屏幕闪烁蓝光。,（激活隐形力场）
武打,她轻盈地跃起，双腿在空中划出一道优美的弧线。,（飞踢向对手）
言情,她轻轻靠在他的肩上，眼中含泪。,（依偎并轻泣）
日常,她轻抚着猫咪，微笑着。,（温柔地抚摸）
武打,她迅速转身，脚尖轻点地面。,（旋转飞踢）
言情,她轻轻低下头，眼角泛起泪光。,（低头擦泪）
武打,她轻盈地跃起，脚尖轻点水面。,（施展轻功踏水而行）
轻小说,月光下，她轻抚着古老的魔法书，低声吟唱。,（吟唱咒语）
都市,她在人群中迅速穿梭，神情焦急。,（快速走过拥挤的街道）
武打,他快速转身，刀光闪烁。,（旋转并挥刀）
历史,他缓缓展开古老的羊皮卷轴，眼中闪过一丝敬畏。,（展开卷轴并凝视）
武打,她快速转身，刀光闪烁。,（旋转挥刀）
科幻,她启动了超光速引擎，星系流转。,（按下控制面板按钮）
玄幻,她轻挥衣袖，紫光闪烁。,（施展法术）
日常,她轻轻点头，嘴角微微上扬。,（点头微笑）
轻小说,她轻抚着古老的书籍，眼中闪烁着好奇的光芒。,（抚摸书籍并凝视）
科幻,飞船突然加速，穿越了时空裂隙。,（按下加速按钮）
日常,她轻轻拍了拍朋友的肩膀，安慰地笑了。,（拍肩并微笑）
轻小说,她的指尖轻轻掠过魔法书页，低声吟唱。,（施展魔法咒语）
生活,她轻轻拿起咖啡杯，目光温柔地望向窗外的细雨。,（端起咖啡杯并望向窗外）
言情,她轻轻咬着下唇，眼中闪烁着泪光，轻声说道：‘你真的要走吗？’,（低头咬唇，眼含泪光）
轻小说,她轻轻合上书本，嘴角露出一丝神秘的微笑。,（合书并微笑）
科幻,飞船突然加速，穿越星际尘埃。,（启动超光速引擎）
言情,她轻咬下唇，眼中含泪。,（低头掩饰情绪）
生活,她轻快地跳下台阶，手中雨伞随风旋转。,（跳跃并旋转雨伞）
武打,她迅速转身，手中长剑划出一道寒光，直指对手咽喉。,（转身并挥剑直刺）
都市,她在拥挤的地铁里紧握扶手，眉头紧锁。,（紧握扶手并皱眉）
言情,她轻轻靠近，眼中含情脉脉。,（轻抚对方脸庞）
日常,她轻轻拿起咖啡杯，望向窗外。,（拿起咖啡杯望向窗外）
言情,她轻咬下唇，眼中闪烁着泪光。,（低头掩饰情绪）
都市,她匆匆穿过马路，不时回头张望。,（快步走过并环顾四周）
武打,她迅速转身，剑光闪烁。,（挥剑斩向敌人）
轻小说,她轻盈地转身，长发随风飘扬。,（优雅地转身）
武打,她迅速转身，手中的剑光如闪电划破夜空。,（快速转身挥剑）
玄幻,她轻挥法杖，口中念念有词。,（施展火球术）
玄幻,她指尖轻弹，一道幽蓝火焰骤然升腾。,（弹指生火）
历史,皇帝缓缓展开那卷古老的羊皮纸，目光深沉而复杂。,（展开羊皮纸并沉思）
玄幻,她轻挥衣袖，星光点点。,（施展星辰法术）
仙侠,她轻挥长袖，脚下生风，飘然跃上云端。,（施展轻功飞升）
武打,她迅速转身，刀光一闪。,（快速旋转并挥刀）
言情,她轻抚长发，眼角含情。,（轻拨发丝）
科幻,她轻触控制面板，飞船引擎轰鸣启动。,（启动飞船引擎）
仙侠,她轻挥长袖，面露淡然。,（施展轻功飘然离去）
玄幻,她轻声念咒，手指尖泛起点点星光。,（施展法术）
日常,她突然停下脚步，四处张望。,（停下并环顾四周）
日常,她轻轻放下茶杯，嘴角微微上扬。,（优雅地放下茶杯）
武打,她迅速转身，刀光闪烁。,（快速旋转并挥刀）
言情,她轻轻咬着下唇，眼中闪烁着泪光，缓缓伸出手却又犹豫地收回。,（欲言又止地颤抖）
玄幻,她一挥手，整夜山随之晃动。,（施展仙术）
历史,秦始皇站在长城上，目光远眺，仿佛在审视自己的帝国。,（远眺并沉思）
武打,她迅速转身，刀光如电闪过。,（快速转身并挥刀）
日常,她轻轻叹了口气，目光转向窗外，手里紧握着未喝完的咖啡杯。,（叹息并望向窗外）
玄幻,她掌心凝聚出璀璨的光芒。,（释放内力）
生活,她轻轻地将咖啡杯放在桌上，眼神温柔地望向窗外。,（放咖啡杯并望向窗外）
生活,她快步走向门口，一手抓起衣架上的外套。,（匆忙穿外套准备出门）
玄幻,她轻挥玉手，星光凝聚。,（召唤星辰之力）
玄幻,她轻挥法杖，口中念念有词。,（施展法术）
侦探,侦探轻手轻脚地靠近窗户，透过缝隙仔细观察着屋内的一举一动。,（蹑手蹑脚地靠近并窥视）
科幻,量子引擎启动，光芒四射中飞船瞬间消失。,（按下启动按钮）
言情,她轻咬着下唇，眼神闪烁不定。,（紧张地绞着手指）
日常,她轻轻合上书本，长舒一口气。,（放下书本并放松）
日常,她轻轻摇头，嘴角微微上扬。,（摇头并微笑）
生活,她轻轻拿起茶杯，嘴角挂着淡淡的笑意。,（优雅地品茶）
历史,将军紧握长剑，目光坚定地望着远方。,（举剑指向敌军方向）
轻小说,她轻巧地跳过水坑，裙摆随风飘扬，嘴角露出一丝神秘的微笑。,（跳跃并微笑）
玄幻,她轻挥衣袖，空气中泛起阵阵涟漪。,（施展空间法术）
仙侠,她轻挥衣袖，云雾缭绕间。,（挥袖召唤云雾）
日常,她轻轻拿起咖啡杯，嘴角微微上扬，目光温柔地望向窗外。,（端起咖啡杯并微笑）
玄幻,月光下，她轻轻一跃，化作一缕青烟消失在夜色中。,（跃起并化作青烟消失）
侦探,侦探迅速翻动着手中的照片，目光如炬。,（快速翻动照片）
日常,她轻轻拍了拍小狗的头，微笑着。,（温柔地抚摸小狗）
言情,她轻咬下唇，眼中闪过一丝犹豫。,（低头绞手指）
轻小说,她轻抚长发，嘴角微扬。,（整理头发并微笑）
历史,他拔出长剑，指向敌军阵前。,（拔剑指向敌方）
历史,他缓缓翻开古籍，眉头紧锁。,（翻书并思考）
生活,她轻轻地拿起茶杯，嘴角微微上扬。,（优雅地品茶）
科幻,她迅速按下控制台上的红色按钮，整个飞船内部瞬间亮起警告的红色灯光。,（按下紧急按钮）
都市,她的手机突然响起，匆忙从包里摸索着，咖啡却失手打翻。,（慌乱翻找手机不小心打翻咖啡）
历史,秦始皇站在长城上，目光远眺北方。,（远眺并握紧拳头）
科幻,她迅速按下控制台上的红色按钮，战舰开始变形。,（紧急操作战舰变形）
言情,她轻轻咬了咬下唇，眼中闪过一丝犹豫。,（低头咬唇）
武打,她迅速转身，手中长剑划出一道寒光。,（转身并挥剑）
言情,她轻咬下唇，眼中闪过一丝羞涩。,（低头抚弄裙角）
历史,古代将军拔出宝剑，目光如炬地望向远方。,（拔剑远望）
历史,秦始皇凝视着远方，手握长剑。,（举剑向天）
言情,她轻咬下唇，眼中闪过一丝羞涩。,（低头玩弄衣角）
仙侠,她轻挥玉手，一道灵光闪过。,（施放法术）
玄幻,她指尖凝聚星光，轻点虚空。,（施展星辰术）
武打,他闪电般拔剑，剑尖直指对方咽喉。,（快速拔剑并指向目标）
日常,她轻轻地合上书本，露出了满意的微笑。,（合书并微笑）
轻小说,她轻巧地跳过小溪，裙摆随风飘扬。,（跳跃并旋转）
玄幻,她轻轻挥手，空中凝聚出一道闪电。,（召唤闪电）
武打,他迅速俯身，一记旋风腿横扫而出，带起一阵尘土。,（施展旋风腿）
科幻,光芒从他手中射出，星图缓缓展开。,（伸出手展启星图）
都市,她快速地穿过拥挤的街道，高跟鞋在石板路上发出清脆的声响。,（快步行走）
玄幻,她轻挥玉手，空中顿时绽放出万千光华。,（施展法术）
武打,经过几秒的对峙，她突然一个侧翻，迅速接近对手。,（使用侧翻接近并准备攻击）
玄幻,她轻轻一跃，化作流光穿越云层。,（飞跃并变身）
轻小说,月光下，少女轻盈地旋转，裙摆如花朵般绽放。,（在月光下优雅旋转）
玄幻,天空中突然裂开一道缝隙，一道金光射向地面，神秘人从光芒中缓缓走出。,（从天空裂缝中降临）
言情,她轻轻咬着下唇，眼中闪过一丝犹豫，最终还是伸出手，颤抖地触碰了他的脸颊。,（轻咬下唇并触碰脸颊）
玄幻,她轻轻挥动手中的法杖，周围空气突然凝结成冰晶。,（施放冰系法术）
玄幻,她掌心泛起幽蓝光芒，口中念念有词。,（施展法术）
言情,她轻轻握住他的手，眼中含泪。,（温柔地握住手）
轻小说,月光下，她轻轻跃起，银发随风飘扬。,（轻盈跳跃）
日常,她轻轻放下手中的咖啡杯，目光柔和地望向窗外的雨景。,（放下咖啡杯并望向窗外）
玄幻,她指尖凝聚出一道紫色光芒，瞬间划破夜空。,（释放法术）
武打,他迅速转身，脚尖轻点地面。,（飞身踢向对方）
言情,她轻轻转身，泪光闪烁。,（转身掩面哭泣）
武打,他迅速侧身，避开了敌人的直拳。,（侧身闪避）
日常,她轻轻放下茶杯，微微一笑。,（优雅地放下茶杯）
玄幻,她轻挥玉手，空中浮现出璀璨的光芒。,（施展法术）
日常,她轻轻放下手中的杯子，微笑着望向窗外。,（放下杯子并微笑）
历史,皇帝挥手示意侍卫退下，郑重其事地展开手中的圣旨。,（示意退下并展示圣旨）
言情,她轻轻咬着下唇，眼中闪烁着泪光，突然转身跑向雨中。,（咬唇并转身跑开）
玄幻,天空中突然裂开一道缝隙，一道金光从天而降，笼罩着他的全身。,（金光中缓缓升起）
武打,她迅速转身，脚尖轻点地面，如同燕子掠过水面。,（快速转身并轻跳）
科幻,她迅速按下按钮，飞船瞬间加速穿越星际。,（按下加速按钮）
日常,她轻轻拍了拍朋友的肩膀，微笑着安慰。,（拍肩安慰）
日常,她轻轻地拿起咖啡杯，微笑着看向窗外。,（举杯并微笑）
科幻,她迅速启动光剑，蓝色的光芒照亮了黑暗的走廊。,（启动光剑）
玄幻,她的手掌轻轻一挥，空中顿时闪现出一道耀眼的光芒。,（施展法术召唤光球）
武打,剑气横扫而过，敌人纷纷倒地。,（挥剑横斩）
武打,她轻巧地翻身，避开了攻击。,（后空翻躲避）
日常,她轻抚着花瓣，嘴角微微上扬。,（轻柔地触摸花朵）
言情,她轻咬着下唇，眼中闪烁着泪光，突然转身跑向了雨中。,（转身跑向雨中）
轻小说,她轻轻转身，长发随风飘扬。,（优雅转身）
日常,她轻轻拨弄着头发，微笑着看向远方。,（拨弄头发并微笑）
科幻,她快速在控制面板上输入一串复杂的代码，屏幕上的数据流突然变得异常活跃。,（快速输入代码并观察数据流）
生活,她轻轻放下手中的茶杯，眼神温柔地望向窗外的樱花。,（放下茶杯并凝视窗外）
武打,她迅速转身，刀光闪烁。,（快速转身挥刀）
侦探,侦探紧锁眉头，快速翻看文件。,（快速翻阅资料）
仙侠,她轻挥长袖，飘然若仙。,（施展轻功飞升）
科幻,她迅速按下控制面板上的红色按钮，全息屏幕随即闪烁出警告信号。,（按下按钮触发警报）
日常,她低头翻看着手机，嘴角微微上扬。,（面带微笑查看手机）
都市,她快速地穿过人群，手中紧握着手机。,（匆忙穿梭于人群中）
日常,她轻声叹气，摇了摇头。,（表达失望）
日常,她轻轻地把书放在桌上，然后深深地叹了口气。,（放书并叹气）
武打,她迅速转身，刀光一闪。,（快速拔刀挥砍）
玄幻,她轻挥衣袖，空中突然凝聚出一片璀璨的星光。,（施展星光术）
生活,她轻轻放下手中的茶杯，嘴角微微上扬。,（放下茶杯并微笑）
轻小说,她轻抚着古旧的书籍，眼中闪过一丝神秘的光芒。,（抚摸书籍并凝视）
武打,他迅速转身，一式‘飞龙在天’，矫健的身姿在空中划出一道完美的弧线。,（施展轻功跳起并凌空踢脚）
轻小说,她轻轻合上书本，嘴角露出一抹神秘的微笑。,（合书并微笑）
科幻,她轻触控制面板，光芒四射。,（激活星际导航系统）
轻小说,月光下，她轻抚着古老的魔法书，低声吟唱着咒语。,（轻抚书页并吟唱）
生活,她轻轻拿起茶杯，嘴角微微上扬。,（优雅地品茶）
侦探,侦探紧锁眉头，仔细观察着血迹。,（俯身检查地面）
生活,她轻轻地拿起茶杯，嘴角微微上扬，眼神温柔地望向窗外。,（优雅地喝茶并凝视远方）
轻小说,她轻盈地转身，裙摆随风飘扬。,（优雅地转圈）
武打,她迅速侧身闪避，手中长剑划出一道寒光。,（闪避并挥剑反击）
言情,她轻轻地靠在他的肩头，眼含泪光。,（依偎并流泪）
武打,她迅速转身，刀光一闪。,（挥刀斩向敌人）
轻小说,月光下，她轻抚着长剑，嘴角扬起一抹神秘的微笑。,（抚剑微笑）
都市,夜深了，徐明在街头停下脚步，环顾四周.,（停下来，四处张望）
轻小说,月光下，她轻轻抽出长剑，剑尖指向星空，银光闪烁。,（抽剑指向夜空）
日常,她轻轻放下手中的杯子，嘴角微微上扬。,（放下杯子并微笑）
都市,她快速穿过繁忙的街道，不时回头张望，脸上写满了紧张。,（快步行走并回头查看）
言情,她轻轻放下手中的茶杯，眼中闪过一丝复杂的情绪，嘴角微微上扬。,（放下茶杯并微笑）
科幻,她轻触控制面板，全息星图骤然展开。,（操作高科技设备）
日常,她轻轻放下茶杯，嘴角微微上扬。,（优雅地放下茶杯）
都市,她紧握手机，快步穿过熙攘的人群。,（快步行走并低头查看手机）
历史,他紧握长剑，目光如炬。,（举剑指向远方）
玄幻,她轻挥玉手，口中念动咒语，周围的空气开始扭曲。,（施展空间法术）
科幻,飞船突然加速，穿越星际尘埃。,（调整控制杆并观察屏幕）
玄幻,剑光一闪，敌人倒地。,（快速拔剑斩杀）
科幻,飞船突然加速，穿越星际迷雾。,（按下超光速按钮）
言情,她轻轻咬着下唇，眼中闪过一丝羞涩。,（低头掩饰红晕）
轻小说,她轻抚着古老的书籍，眼中闪过一丝神秘的光芒。,（抚摸书籍并凝视）
轻小说,她轻抚着古书的封面，眼中闪过一丝怀念的光芒。,（抚摸书籍并沉思）
历史,将军凝视着远方，手中紧握着古老的地图，神情凝重。,（握紧地图并凝视远方）
仙侠,她轻挥玉手，空中划过一道璀璨的剑光。,（挥剑斩向虚空）
武打,她迅速转身，手中长剑划出一道寒光。,（快速转身并挥剑）
日常,她轻轻合上书，微笑着看向窗外的阳光。,（合书并微笑）
侦探,侦探快速翻开笔记本，眉头紧锁。,（翻阅并皱眉）
历史,在一次激烈的朝会上，将军突然拔出长剑，指向地图上的敌军位置，全场寂静。,（拔剑指向地图）
科幻,她轻触屏幕，全息图像瞬间展开。,（操作全息界面）
玄幻,她轻挥法杖，口中低语咒文。,（施放光芒四射的法术）
武打,她迅速转身，腿如旋风般扫出。,（旋转踢腿）
日常,她轻手轻脚地走进厨房，小心翼翼地打开冰箱门。,（轻步行走并打开冰箱）
武打,她迅速后撤一步，双手成爪状，眼中闪过一抹寒光。,（准备施展鹰爪功）
都市,她迅速穿过马路，不时回头张望。,（疾走并四处观察）
言情,她轻咬下唇，目光闪烁不定。,（害羞地低下头）
言情,她轻轻咬着下唇，眼中闪烁着泪光，突然转身跑向雨中。,（咬唇转身奔跑）
历史,古罗马战士高举利剑，目光如炬。,（举剑宣誓）
生活,她轻轻地捡起地上的落叶，目光温柔地注视着它。,（捡起落叶并凝视）
玄幻,她轻挥玉手，光芒四射。,（施展仙术）
历史,秦始皇凝视着远处的烽火台，手中紧握着一卷竹简。,（握紧竹简凝望远方）
轻小说,她轻抚长发，微微一笑转身离去。,（抚发并转身离开）
科幻,她轻轻触碰了控制面板，周围的灯光立即变成了深蓝色，整个房间充满了未来感。,（触摸面板并改变灯光）
玄幻,她轻轻一挥手，星光随指间流转。,（召唤星光）
科幻,外星装置在她接近时突然启动，发出耀眼的光芒。,（装置启动放射光芒）
言情,她轻轻低下头，长发如瀑布般垂落，遮掩了她泛红的脸颊。,（低头掩饰害羞）
玄幻,她轻挥手中的法杖，空中骤然浮现出璀璨的符文。,（施放法术）
都市,她迅速穿过繁忙的街道，耳机里传来急促的音乐。,（快速行走并调整耳机）
玄幻,在月光的照耀下，神秘人缓缓挥动手中的法杖，口中念出古老的咒语。,（挥动法杖并念咒语）
武打,他迅速转身，刀光一闪。,（转身挥刀）
历史,在昏暗的烛光下，他缓缓展开古老的羊皮卷轴，目光如炬地扫过每一行文字。,（展开卷轴并专注阅读）
玄幻,她轻挥长袖，紫光闪现。,（施放法术）
武打,她轻盈地跃起，脚尖轻点水面，如同燕子掠过湖面。,（施展轻功掠过水面）
日常,她轻快地跳下台阶，嘴角挂着满足的微笑。,（跳跃并微笑）
历史,亚历山大挥舞着长剑，目光坚定地望向远方。,（高举起长剑）
日常,她轻笑着摇了摇头，转身望向窗外的雨景。,（摇头并望向窗外）
言情,她轻踮脚尖，微笑着靠近他。,（向前倾身）
历史,李斯快步走到秦始皇面前，跪下行礼。,（快步行走并跪下行礼）
玄幻,她轻挥手中的法杖，空中骤然凝聚出一团炽热的火焰。,（施展火系法术）
武打,他迅速转身，刀光闪烁。,（旋转并挥刀）
仙侠,她轻挥长袖，剑光如水。,（衣袖挥舞，剑光闪烁）
言情,她轻轻低下头，长长的睫毛掩盖不住眼中的泪光。,（低头掩饰泪水）
仙侠,她轻拂长袖，脚尖轻点地面飘然而起。,（施展轻功飘飞）
都市,李明的手机突然摔在了地上，碎了一地,（手机掉落破碎）
言情,她轻轻低下头，脸颊微红。,（害羞地低头）
侦探,侦探轻轻推开那扇吱嘎作响的门，眼神锐利地扫视着昏暗的房间。,（推门并扫视房间）
都市,她快速转身，高跟鞋在地面上敲出急促的声响。,（转身并快步走开）
历史,将军拔剑四顾，目光如炬。,（拔剑四顾）
生活,她轻轻放下茶杯，眼神温柔地望向窗外。,（放下茶杯并望向窗外）
轻小说,她轻巧地跃上屋顶，月光映照着她的背影。,（跳跃至屋顶）
日常,她轻轻地拿起桌上的咖啡杯，眼神温柔地望向窗外。,（拿起咖啡杯望向窗外）
科幻,她轻触控制面板，指尖闪烁着蓝色的光芒。,（激活全息投影）
玄幻,她轻挥玉手，空中绽放光芒。,（施展法术）
